No,就職前,就職後
1,食べている,食べている
2,食べている,食べている
3,食べている,食べている
4,食べている,食べている
5,食べている,食べている
6,食べている,食べている
7,食べている,食べている
8,食べている,食べている
9,食べている,食べている
10,食べている,食べている
11,食べている,食べている
12,食べている,食べている
13,食べている,食べている
14,食べている,食べている
15,食べている,食べている
16,食べている,食べている
17,食べている,食べている
18,食べている,食べている
19,食べている,食べている
20,食べている,食べている
21,食べている,食べている
22,食べている,食べている
23,食べている,食べている
24,食べている,食べている
25,食べている,食べている
26,食べている,食べている
27,食べている,食べている
28,食べている,食べている
29,食べている,食べている
30,食べている,食べている
31,食べている,食べている
32,食べている,食べている
33,食べている,食べている
34,食べている,食べている
35,食べている,食べている
36,食べている,食べていない
37,食べている,食べていない
38,食べている,食べていない
39,食べている,食べていない
40,食べている,食べていない
41,食べている,食べていない
42,食べている,食べていない
43,食べている,食べていない
44,食べている,食べていない
45,食べている,食べていない
46,食べている,食べていない
47,食べている,食べていない
48,食べている,食べていない
49,食べている,食べていない
50,食べている,食べていない
51,食べている,食べていない
52,食べている,食べていない
53,食べている,食べていない
54,食べている,食べていない
55,食べている,食べていない
56,食べている,食べていない
57,食べている,食べていない
58,食べている,食べていない
59,食べている,食べていない
60,食べている,食べていない
61,食べていない,食べている
62,食べていない,食べている
63,食べていない,食べている
64,食べていない,食べている
65,食べていない,食べている
66,食べていない,食べている
67,食べていない,食べている
68,食べていない,食べている
69,食べていない,食べている
70,食べていない,食べている
71,食べていない,食べている
72,食べていない,食べている
73,食べていない,食べている
74,食べていない,食べている
75,食べていない,食べている
76,食べていない,食べていない
77,食べていない,食べていない
78,食べていない,食べていない
79,食べていない,食べていない
80,食べていない,食べていない
81,食べていない,食べていない
82,食べていない,食べていない
83,食べていない,食べていない
84,食べていない,食べていない
85,食べていない,食べていない
86,食べていない,食べていない
87,食べていない,食べていない
88,食べていない,食べていない
89,食べていない,食べていない
90,食べていない,食べていない
91,食べていない,食べていない
92,食べていない,食べていない
93,食べていない,食べていない
94,食べていない,食べていない
95,食べていない,食べていない
96,食べていない,食べていない
97,食べていない,食べていない
98,食べていない,食べていない
99,食べていない,食べていない
100,食べていない,食べていない
101,食べている,食べている
102,食べている,食べている
103,食べている,食べている
104,食べている,食べている
105,食べている,食べている
106,食べている,食べている
107,食べている,食べている
108,食べている,食べている
109,食べている,食べている
110,食べている,食べている
111,食べている,食べている
112,食べている,食べている
113,食べている,食べている
114,食べている,食べている
115,食べている,食べている
116,食べている,食べている
117,食べている,食べている
118,食べている,食べている
119,食べている,食べている
120,食べている,食べている
121,食べている,食べている
122,食べている,食べている
123,食べている,食べている
124,食べている,食べている
125,食べている,食べている
126,食べている,食べている
127,食べている,食べている
128,食べている,食べている
129,食べている,食べている
130,食べている,食べている
131,食べている,食べている
132,食べている,食べている
133,食べている,食べている
134,食べている,食べている
135,食べている,食べている
136,食べている,食べていない
137,食べている,食べていない
138,食べている,食べていない
139,食べている,食べていない
140,食べている,食べていない
141,食べている,食べていない
142,食べている,食べていない
143,食べている,食べていない
144,食べている,食べていない
145,食べている,食べていない
146,食べている,食べていない
147,食べている,食べていない
148,食べている,食べていない
149,食べている,食べていない
150,食べている,食べていない
151,食べている,食べていない
152,食べている,食べていない
153,食べている,食べていない
154,食べている,食べていない
155,食べている,食べていない
156,食べている,食べていない
157,食べている,食べていない
158,食べている,食べていない
159,食べている,食べていない
160,食べている,食べていない
161,食べていない,食べている
162,食べていない,食べている
163,食べていない,食べている
164,食べていない,食べている
165,食べていない,食べている
166,食べていない,食べている
167,食べていない,食べている
168,食べていない,食べている
169,食べていない,食べている
170,食べていない,食べている
171,食べていない,食べている
172,食べていない,食べている
173,食べていない,食べている
174,食べていない,食べている
175,食べていない,食べている
176,食べていない,食べていない
177,食べていない,食べていない
178,食べていない,食べていない
179,食べていない,食べていない
180,食べていない,食べていない
181,食べていない,食べていない
182,食べていない,食べていない
183,食べていない,食べていない
184,食べていない,食べていない
185,食べていない,食べていない
186,食べていない,食べていない
187,食べていない,食べていない
188,食べていない,食べていない
189,食べていない,食べていない
190,食べていない,食べていない
191,食べていない,食べていない
192,食べていない,食べていない
193,食べていない,食べていない
194,食べていない,食べていない
195,食べていない,食べていない
196,食べていない,食べていない
197,食べていない,食べていない
198,食べていない,食べていない
199,食べていない,食べていない
200,食べていない,食べていない
201,食べている,食べている
202,食べている,食べている
203,食べている,食べている
204,食べている,食べている
205,食べている,食べている
206,食べている,食べている
207,食べている,食べている
208,食べている,食べている
209,食べている,食べている
210,食べている,食べている
211,食べている,食べている
212,食べている,食べている
213,食べている,食べている
214,食べている,食べている
215,食べている,食べている
216,食べている,食べている
217,食べている,食べている
218,食べている,食べている
219,食べている,食べている
220,食べている,食べている
221,食べている,食べている
222,食べている,食べている
223,食べている,食べている
224,食べている,食べている
225,食べている,食べている
226,食べている,食べている
227,食べている,食べている
228,食べている,食べている
229,食べている,食べている
230,食べている,食べている
