ID,Time1,Time2,Time3
1,44.6,57.3,65.1
2,55.0,47.6,64.0
3,51.4,59.3,65.7
4,42.5,55.0,68.5
5,47.1,49.4,68.3
6,58.3,45.6,60.5
7,37.9,47.3,72.6
8,47.9,44.9,59.5
9,56.3,61.4,65.4
10,45.7,51.8,63.6
11,46.6,56.8,59.8
12,49.5,44.7,64.6
13,57.5,51.9,61.3
14,46.8,56.9,65.4
15,47.8,49.3,67.0
16,47.8,56.2,72.4
17,61.0,45.6,66.5
18,60.9,44.2,61.9
19,55.0,52.9,63.0
20,51.9,49.1,65.7
21,53.7,54.2,65.5
22,57.5,41.1,72.3
23,45.3,54.6,72.0
24,55.9,64.0,63.2
25,43.7,50.9,62.3
26,46.8,51.2,52.2
27,54.5,51.9,62.3
28,42.9,41.7,60.1
29,49.3,53.1,63.2
30,45.7,43.0,67.0
31,48.7,48.9,65.9
32,36.0,57.2,64.9
33,41.1,47.3,66.0
34,46.5,53.5,64.4
35,54.6,56.1,66.0
36,49.1,52.4,48.8
37,50.0,44.1,63.7
38,53.4,49.3,64.4
39,45.6,60.8,63.3
40,51.4,40.9,63.9
41,46.0,49.6,68.5
42,41.4,48.2,62.0
43,48.0,51.6,76.0
44,52.9,54.7,68.4
45,51.7,59.0,65.0
46,49.9,49.6,64.0
47,62.0,55.1,64.6
48,52.1,53.5,60.4
49,54.9,53.4,64.5
50,61.2,48.2,66.4
51,43.5,46.0,67.9
52,44.8,45.5,67.9
53,58.7,47.2,63.6
54,46.0,52.6,57.9
55,50.1,54.8,61.7
56,55.3,52.6,73.1
57,54.5,48.3,69.5
58,58.8,60.0,66.8
59,57.5,58.6,61.2
60,55.3,49.2,65.0
61,46.1,46.9,58.7
62,54.0,51.7,62.2
63,51.6,57.3,63.8
64,43.4,52.7,63.2
65,57.1,53.8,69.8
66,54.0,49.9,57.9
67,50.2,53.3,60.7
68,48.8,58.7,58.1
69,44.0,49.8,58.8
70,51.0,51.7,65.6
71,52.3,52.3,57.0
72,45.8,52.4,68.8
73,55.8,43.9,63.8
74,44.5,41.6,65.3
75,39.4,45.9,66.6
76,55.2,51.8,62.8
77,48.0,53.8,70.2
78,49.4,48.3,64.0
79,45.8,57.9,68.0
80,42.0,50.3,64.0
