ID,X1,X2,X3,Y
1,62.472407,69.211921,-0.839218,197.830069
2,97.042858,118.32992,-0.309212,294.879905
3,83.919637,97.70037,0.331263,245.964412
4,75.919509,89.644942,0.975545,231.427884
5,49.361118,56.224809,-0.479174,149.772892
6,49.359671,68.492996,-0.185659,158.043952
7,43.485017,52.114534,-1.106335,125.094022
8,91.970569,105.076128,-1.196207,274.429395
9,76.066901,95.393005,0.812526,223.060832
10,82.484355,92.877007,1.35624,230.783554
11,41.23507,50.526402,-0.07201,126.774427
12,98.194591,108.035159,1.003533,295.689027
13,89.946558,101.29494,0.361636,269.348356
14,52.740347,64.272722,-0.64512,156.842848
15,50.909498,64.783731,0.361396,138.032693
16,51.004271,62.061966,1.538037,146.499304
17,58.254535,69.3272,-0.035826,171.390198
18,71.485386,84.276945,1.564644,204.08642
19,65.916701,71.707431,-2.619745,200.066864
20,57.473748,65.369277,0.821903,175.2289
21,76.711174,89.750215,0.087047,248.864809
22,48.369632,63.329169,-0.299007,147.303184
23,57.528679,70.752506,0.091761,175.023899
24,61.981711,65.562852,-1.987569,188.182026
25,67.364199,82.457459,-0.219672,183.234393
26,87.110558,102.607258,0.357113,260.530865
27,51.980427,58.991902,1.477894,154.326742
28,70.854066,88.083261,-0.51827,237.972025
29,75.544874,95.808847,-0.808494,225.923753
30,42.787025,56.00083,-0.501757,132.129183
